file,old_permalink,old_slug,old_canonical,proposed_new_url
"_data/28-08.md","/lasciar-andare-controllo/","lasciar-andare-controllo",,
"cookie-policy.md","/cookie-policy/",,,
"privacy-policy.md","/privacy-policy/",,,
"about.md",,,"https://www.messymind.it/about",
"_posts/crescita_personale_antiguru/felicita-realistica/2024-10-22-autoconsapevolezza-e-felicita.md","/ricerca-felicita-autenticita-panini-notturni/",,,
"pages/categories/mindfulness-ironica.md","/mindfulness-ironica/",,"https://messymind.it/mindfulness-ironica/",
"_posts/crescita_personale_antiguru/scopo-e-confini/2025-08-23-scopo-motivazione-arte-del-no.md","/scopo-motivazione-arte-del-no/","scopo-motivazione-arte-del-no","https://messymind.it/scopo-motivazione-arte-del-no/",
"pages/categories/equilibrio-interiore.md","/equilibrio-interiore/",,"https://messymind.it/equilibrio-interiore/",
"pages/categories/crescita-personale-antiguru.md","/crescita-personale-anti-guru/",,"https://messymind.it/crescita-personale-anti-guru/",
"pages/categories/filosofia-pratica.md","/filosofia-pratica/",,"https://messymind.it/filosofia-pratica/",
"_posts/burnout_e_lavoro/ritmi-gentili/2025-02-25-come-ho-smesso-di-inseguire-il-tempo.md",,"/come-ho-smesso-di-inseguire-il-tempo",,
"_posts/burnout_e_lavoro/autenticita-in-ufficio/2024-11-8-autenticita-e-lavoro.md","/burnout-lavoro/autenticita-lavoro-guida-pratica/","autenticita-lavoro-guida-pratica","https://messymind.it/burnout-lavoro/autenticita-lavoro-guida-pratica/",
"_posts/crescita_personale_antiguru/scelta-e-cuore/2025-02-11-cuore-e-mente-in-armonia.md","/cuore-vs-mente-manuale-antistronzi/",,,
"_posts/filosofia_pratica/coscienza-e-ai/2025-09-10-faggin-ia-non-cosciente.md",,,"https://messymind.it/faggin-ia-non-cosciente/",
"_posts/filosofia_pratica/scienza-e-metodo/riduzionismo.md",,"limiti-riduzionismo-vs-olismo-emergentismo","https://messymind.it/limiti-riduzionismo-vs-olismo-emergentismo/",
"_posts/filosofia_pratica/coscienza-e-ai/2025-09-12-federico-faggin-qip-seita.md","/federico-faggin-qip-seita/",,"https://messymind.it/federico-faggin-qip-seita",
"_posts/filosofia_pratica/scienza-e-metodo/2025-02-18-e-mc2-spiritualita-verita-scomoda.md",,,"https://matteoricci.net/e-mc2-spiritualita-verita-scomoda",
"_posts/filosofia_pratica/scienza-e-metodo/2025-09-02-costellazioni.md","/costellazioni-familiari-sfogo-o-terapia/","costellazioni-familiari-sfogo-o-terapia","https://matteoricci.net/costellazioni-familiari-sfogo-o-terapia/",
"_posts/crescita_personale_antiguru/desiderio-e-rinuncia/2025-04-06-il-desiderio.md",,"paradosso-desiderio-yeti-palestra-alan-watts",,
"_posts/crescita_personale_antiguru/desiderio-e-rinuncia/2025-03-31-il-risveglio-interiore.md","/risveglio-interiore-successo-autentico-umorismo-esistenziale",,,
"_posts/crescita_personale_antiguru/antifragilita-e-perfezionismo/2025-04-18-fallimento-arte.md",,"/fallire-arte-picasso-scivoloni",,
"_posts/mindfulness_ironica/osservazione-e-silenzio/2025-02-22-come-ritrovare-contatto-materia-oggetti-quotidiani.md",,"/come-ritrovare-contatto-materia-oggetti-quotidiani",,
